TITLE,DEPARTMENT,PERCENTAGE,FOAPAL_SALARY,TOTAL_SALARY,OTHER_SALARY,TENURE,DEGREE,DEGREE_DESC,YEARS_HERE,YEARS_TOTAL,POSITION_FTE,JOB FTE,BUDGET_FTE,JOB_PCT,MONTHS_EMPL,POSN_ECLS
Assistant Professor,Accounting,100,"139,000.00","139,000.00",0.00,,,,0,0,1,1,1,0,9,F9
Assistant Professor,Accounting,100,"139,000.00","139,000.00",0.00,,,,0,0,1,1,1,0,9,F9
Assistant Professor,Accounting,100,"138,000.00","138,000.00",0.00,O,PHD,Doctor of Philosophy,0,0,1,1,1,100,9,F9
Associate Professor,Accounting,100,"131,171.00","134,291.00","3,120.00",T,PHD,Doctor of Philosophy,18,22,1,1,1,100,9,F9
Associate Professor,Accounting,100,"131,484.00","137,724.00","6,240.00",T,PHD,Doctor of Philosophy,21,22,1,1,1,100,9,F9
Associate Professor,Accounting,100,"130,108.00","139,468.00","9,360.00",O,PHD,Doctor of Philosophy,5,5,1,1,1,100,9,F9
Master Instructor,Accounting,100,"67,396.00","67,396.00",0.00,N,DBA,Doctor of Business Admin_,12,12,1,1,1,100,9,F9
Master Instructor,Accounting,100,"70,161.00","76,401.00","6,240.00",N,MBA,Master of Business Admin.,20,21,1,1,1,100,9,F9
Professor,Accounting,100,"143,844.00","150,084.00","6,240.00",T,PHD,Doctor of Philosophy,28,28,1,1,1,100,9,F9
Professor And Head,Accounting,100,"147,426.00","173,666.00","26,240.00",T,PHD,Doctor of Philosophy,39,37,1,1,1,100,9,F9
Senior Instructor,Accounting,100,"64,627.00","64,627.00",0.00,N,MBA,Master of Business Admin.,5,5,1,1,1,100,9,F9
Senior Instructor,Accounting,100,"64,789.00","64,789.00",0.00,N,MS,Master of Science,6,9,1,1,1,100,9,F9
Assistant Professor,Allied Health,100,"70,113.00","73,233.00","3,120.00",O,PHD,Doctor of Philosophy,4,4,1,1,1,100,9,F9
Instructor,Allied Health,100,"62,000.00","62,000.00",0.00,,,,0,0,1,1,1,0,9,F9
Instructor,Allied Health,100,"66,000.00","66,000.00",0.00,N,MS,Master of Science,2,2,1,1,1,100,9,F9
Instructor,Allied Health,100,"62,591.00","62,591.00",0.00,N,MBA,Master of Business Admin.,4,4,1,1,1,100,9,F9
Master Instructor,Allied Health,100,"68,344.00","68,344.00",0.00,N,MS,Master of Science,11,12,1,1,1,100,9,F9
Professor,Allied Health,100,"130,162.00","130,162.00",0.00,T,PHD,Doctor of Philosophy,22,22,1,1,1,100,9,F9
Professor,Allied Health,100,"116,757.00","129,877.00","13,120.00",T,EDD,Doctor of Education,42,43,1,1,1,100,9,F9
Senior Instructor,Allied Health,100,"67,791.00","67,791.00",0.00,N,MS,Master of Science,6,7,1,1,1,100,9,F9
Assistant Professor,Baccalaureate Nursing,100,"62,900.00","62,900.00",0.00,N,DNP,Doctor of Nursing Practice,6,7,1,1,1,100,9,F9
Assistant Professor,Baccalaureate Nursing,100,"81,096.00","84,216.00","3,120.00",O,DNP,Doctor of Nursing Practice,7,7,1,1,1,100,9,F9
